tc_PearsonCorr,N_PearsonCorr,tc_SpearmanCorr,N_SpearmanCorr,tc_DistCorr,N_DistCorr,tc_MI-cut,N_MI-cut,tc_MI-qcut,N_MI-qcut,tc_MI-Darbellay,N_MI-Darbellay,tc_MI-KDE,N_MI-KDE,tc_MI-GIEF,N_MI-GIEF,tc_MIC,N_MIC,tc_RMIC,N_RMIC
7.937880937306631e-06,500,0.0010035265815683128,500,0.0009928922742964315,500,0.0029963490741600845,500,0.002997180684774247,500,0.0030200487027504832,500,0.010973284836786577,500,0.0029933678915241707,500,0.0019950770125475134,500,0.004989000761254933,500
0.001001375784870393,500,0.0010041400541454444,500,5.673334167162379e-06,500,0.0029935054772018367,500,0.0039967857353545785,500,0.00399620299050677,500,0.010982278732122796,500,0.0029942625005884163,500,0.0019997601109547894,500,0.0059894192008302476,500
8.446441166557795e-08,500,0.0010015034630008125,500,0.0010036923148693411,500,0.002995428862808208,500,0.003998128767719178,500,0.0029950909128199747,500,0.011975361730645095,500,0.002994306483750037,500,0.0019992980969336803,500,0.0049920839584664,500
1.1367226094780404e-06,500,0.0010025256990061665,500,7.692685839939743e-06,500,0.0029986761342609167,500,0.0029929014106365942,500,0.002994234980084827,500,0.011948877585006557,500,0.004021128562602237,500,0.002003413197049101,500,0.004990474928815093,500
8.327048059135532e-06,500,0.002000244868645805,500,0.0009988282838607834,500,0.0029941104430613306,500,0.003019228625872549,500,0.00399721253698788,500,0.011004977366073934,500,0.0029934621182689555,500,0.0020039001542660924,500,0.005991444235630954,500
0.001005392544627832,500,0.0010047780289416193,500,8.844527691628689e-06,500,0.003995673519067632,500,0.003992846284110328,500,0.003998932498922914,500,0.011977577114599765,500,0.0029998284966330467,500,0.003994994619631541,500,0.005987295953601178,500
1.4592531859790359e-06,500,0.001001749137395421,500,0.0009975753405384424,500,0.00299937686331072,500,0.003983957857317432,500,0.002995275291680706,500,0.01094346583186473,500,0.0029876518353468755,500,0.0029943366813985277,500,0.00599355969900801,500
3.901658461043625e-06,500,1.800094956444237e-06,500,6.608319166579991e-07,500,0.002997151335448997,500,0.003977890441885134,500,0.0020012482654950103,500,0.010980141019607098,500,0.0030017364400118343,500,0.002000893276324701,500,0.006989878492404256,500
5.265912661521943e-06,500,4.7071299426483866e-06,500,0.0010016434277552674,500,0.002992853191691527,500,0.003992566552445109,500,0.00300039203083457,500,0.01097097568502616,500,0.00397025785059888,500,0.0020038460966122695,500,0.0049902119836229665,500
9.010850239811176e-07,500,0.001000245733229798,500,8.524955914518514e-06,500,0.002995003962202696,500,0.003992632083578884,500,0.003996976874958577,500,0.010972866848861122,500,0.0030179289672015294,500,0.0029935964010361707,500,0.005986838114090654,500
4.57189764097472e-06,500,7.720637802981035e-06,500,0.0010053843702134435,500,0.003992995665715685,500,0.0030119457108243207,500,0.0029993301883484377,500,0.011984185225076424,500,0.0030004086953916123,500,0.0020007277677472173,500,0.006983463147315678,500
1.251632968927141e-07,500,0.0010024309770674804,500,4.242549332936553e-06,500,0.0029927653169590156,500,0.004993191741121263,500,0.0030019720258516597,500,0.009968458480201076,500,0.002995118365452698,500,0.0019986835172293473,500,0.005999622396377929,500
2.903890501337332e-06,500,0.0010043803890479811,500,0.001006801927247945,500,0.003992049311131552,500,0.0030132357290043998,500,0.002996877687532095,500,0.010979284783192482,500,0.0025119150890337053,500,0.001997892515097561,500,0.005985229234412815,500
4.144340839190946e-06,500,0.0010039105690403248,500,9.031092499293426e-06,500,0.0029928306736051583,500,0.003966136384904537,500,0.0029951578260795178,500,0.011006915410486708,500,0.003995158470843559,500,0.001995124471364743,500,0.0059861366573795965,500
4.225326481206525e-06,500,0.001006643657844913,500,0.0009988273554716969,500,0.0030014887405146245,500,0.002993008494097823,500,0.003990102816254121,500,0.010976605237638321,500,0.003998470964523248,500,0.0030036354944058853,500,0.004991291871291442,500
5.955612726699464e-06,500,0.001007442267170228,500,6.849278583675012e-07,500,0.003990235291240028,500,0.002992695149937257,500,0.0030004269898038596,500,0.010977110467138894,500,0.0029982111094056852,500,0.0019986131791569577,500,0.005984608427611259,500
9.896308913321514e-06,500,0.0010128365247276257,500,0.001005660117985316,500,0.0029986880205622444,500,0.0040026432633843275,500,0.0029954634203639666,500,0.010969046770462577,500,0.0029994594304830623,500,0.0020035054646599815,500,0.005989807052032021,500
8.178940883223672e-06,500,0.0009920371147823922,500,1.6392701827505897e-06,500,0.0030258018018473488,500,0.00302147941625346,500,0.002994165994057326,500,0.01194622265113572,500,0.002995768446186135,500,0.0029984283610241407,500,0.006021113891691281,500
7.323441716024993e-06,500,0.0009986848030800295,500,0.0009984708128292661,500,0.003002174716739034,500,0.003993696969178286,500,0.0029987316067849076,500,0.011001426185581335,500,0.0039951926299505456,500,0.002001332634419192,500,0.006986838545566493,500
