light_diesel,heavy_diesel,gasoline,dry_gas
0.2023095657727923,0.05819245969690527,0.3962611933034845,0.05412405128541741
0.20789500888924095,0.06266113773258253,0.41169015675811804,0.05400223674461253
0.213437392506865,0.06366810254076107,0.42485771665546634,0.05192597354605284
0.22174205812163278,0.06577652790841386,0.4302025218878436,0.052163695187963315
0.23419898165877379,0.056901141135402886,0.35109696378645444,0.05166208559509766
0.22585028235784177,0.055489692733849946,0.26653124271768736,0.05060921179600518
0.22111134401885507,0.062480178476952156,0.16576683586331953,0.0492521643087316
0.2038917207461669,0.07731251469440528,0.14372696982398722,0.04882645465619051
0.21181739645214154,0.08493771046455176,0.12494729099666693,0.05043438126106332
0.21724731894768382,0.08397499787706936,0.1261595498728285,0.0513818227251669
0.22761063023960348,0.08518569575438606,0.12526120368813023,0.052769381228827544
0.23007948567166633,0.08943039862004071,0.12485162703214014,0.05273512710533783
0.23220349116561545,0.09349275001777324,0.12427990452777493,0.052806036678202106
0.2197937972402833,0.09468727950265848,0.12372659065343622,0.05225224879140582
0.20771720317704623,0.09424648478768274,0.123122007001551,0.051357634670118675
0.20470179960550167,0.09377923719132947,0.13321131289668717,0.05082139026491229
0.2025072156639898,0.09351529619877988,0.14529851559080034,0.0509432630583313
0.2109171937789705,0.09287049620176174,0.15692698075996123,0.05140745856665217
0.20615330169320123,0.0944639536494449,0.1606187859862796,0.05205911654974284
0.215913042636284,0.09425674141457172,0.16413691010844467,0.052130997642524254
0.20502586846148402,0.09528865123183755,0.16848976245479988,0.05227763092681386
0.20149824265987754,0.09504510047565556,0.17013103720308426,0.051917875031382135
0.19952727136572523,0.0943238684642832,0.1674997938015932,0.05162557489142889
0.20093067201281017,0.09245897483604099,0.1638377734633242,0.05108965686747986
0.19737782523503794,0.0909148178934088,0.1605782353886757,0.0516876095448698
0.1805213573427013,0.09178696801944562,0.16110519196231504,0.05260750748679567
0.18065065557341098,0.09211727057786177,0.16238743958050172,0.053221983800414055
0.18047314836160172,0.09295968655851801,0.16184371640089215,0.05254966588220372
0.13533705658624526,0.061694983012557394,0.1676738571299755,0.051829730957607636
0.1309412776940491,0.06258533168250134,0.18175087817873095,0.05218225521438559
0.12954456482777338,0.062334099565902065,0.19750118414958778,0.05247310036506328
0.18482110175152677,0.0933187794086419,0.2082641317850225,0.05160386702576754
0.18817623828417762,0.09355164974879626,0.2104197195544655,0.051113417545147186
0.19484315062892532,0.09307677440898701,0.21113125502027918,0.05119212571415166
0.194955308438276,0.0922168466248502,0.2144394999745048,0.051860140036571425
0.19422900257689507,0.09169474488864808,0.21847213542005917,0.051614580302745
0.1888952558728452,0.09225305922291081,0.22281261882026654,0.05182854851247573
0.1849008104221951,0.0927522205917875,0.22217800937026122,0.052941647617557125
0.17903096447805214,0.09238459743446942,0.22148435191136562,0.05364430206315825
0.17958291887197417,0.09218747952441833,0.22231771343456252,0.053785448016533705
0.1763514462132109,0.09288467327226488,0.22205586682853445,0.053183196939385
0.1778232186286192,0.09305872428542283,0.2224658999451679,0.05283511798348106
0.17175056061032826,0.09448540185041959,0.23117159649908434,0.052677500452568374
0.17018449641446998,0.09512292030024416,0.2432253044309908,0.05236098711320991
0.1679820430104635,0.09558189209186112,0.2560678414627593,0.051918250535100005
0.1622802962093765,0.09519085121065762,0.25691064782825723,0.05164683688294859
