noise,sin_high_freq,noise,cos_high_freq,noise,vary_freq_sin,noise,vary_freq_cos,noise,non_fourier_freq_sin,noise,non_fourier_freq_cos,noise,sin_low_freq,noise,linear_periodic_med_freq,noise,cubic,noise,cubic_y_stretched,noise,parabola,noise,spike,noise,lopsided_l_shaped,noise,l_shaped,noise,sigmoid,noise,exp_base_10,noise,exp_base_2,noise,linear_periodic_high_freq_2,noise,linear_periodic_high_freq,noise,linear_periodic_low_freq,noise,line
0.06146140308646941,0.0721,0.7969339099507678,0.0296,0.001576036360942723,0.1137,0.4801717431064655,0.0708,0.8045911518373702,0.0587,0.006352015215938311,0.2885,0.010110249979407127,0.2203,0.9835699366136021,0.0322,0.8912117963331779,0.0812,0.5606911787448549,0.2357,0.9991020307670723,0.0305,-0.0008416120177980879,,0.9863534111995987,0.0334,0.5040673057158869,0.289,0.0006147286129807306,2.7096,0.7894177204724776,0.1368,0.8930286620623489,0.0933,0.5773467480414761,0.2335,0.9272074921881309,0.065,0.30609761642262945,0.5463,0.9872449909989096,0.0485
0.6116047101923426,0.0469,0.9708321425571974,0.0335,0.13208124989976677,0.0768,0.9978317725447486,0.0332,0.962425642233883,0.0337,0.3612318449950883,0.1423,0.5939005281452698,0.0808,0.6834270748024477,0.0503,0.7154245889649195,0.1468,0.9431054608104884,0.056,0.7870555343864194,0.1502,0.9871188549493396,0.0348,0.9959283848677036,0.0382,0.9256823650819418,0.0637,0.8730308494026164,0.096,0.6420591950183163,0.1978,0.3812632987463562,0.4247,0.9993052653370346,0.0284,0.91047941607237,0.0905,0.031561664701351244,1.0457,0.8969662494961476,0.0987
0.5748875363814174,0.0403,0.8729608563113876,0.0354,0.0037374952172072318,0.1149,0.799166291771342,0.0478,0.9476766630482626,0.0436,0.8355702925477518,0.0762,0.7968831605467869,0.0742,0.22623690908702077,0.1309,0.9425393922682462,0.0551,0.020552706013659994,0.7048,0.9452943558459023,0.0537,0.7113936412870123,0.1873,0.37667789539953545,0.3092,0.9964188076663049,0.0297,0.9586146819829565,0.048,0.9307684889715083,0.0843,0.46399499006379863,0.2711,0.13653354015853647,0.8404,0.7928878627310257,0.134,0.6459130028011926,0.2113,0.7963456790399246,0.1555
0.7904421608490049,0.0344,0.956216612225538,0.0199,0.004199752964070158,0.12,0.05396753296208423,0.1095,0.7641976787269055,0.045,0.01990568197776499,0.2711,0.000834474618871206,0.2155,0.9976540482115926,0.0272,0.9904968913913573,0.0462,0.876109458607824,0.1229,0.1291229813559811,0.4999,0.4748964022511053,0.2659,0.03873705479710743,0.9568,0.6512909188134404,0.2117,0.959742087341348,0.057,0.9927222041163023,0.0364,0.7078302107968494,0.1831,0.657767745416344,0.2068,0.005589536992862798,1.4843,0.29691849691186767,0.5366,0.37878924641909517,0.3763
0.9100149501735311,0.0306,0.8672839848444066,0.0314,0.9105345477770705,0.0272,0.9870306603307899,0.0261,0.8916516606972008,0.0387,0.9957974425058609,0.0202,0.9101910648377052,0.0575,0.8935334463132317,0.0403,0.8924299551527839,0.0897,0.6339328592316129,0.1615,0.928017222770264,0.088,0.9970640564413714,0.026,0.9130571389127295,0.0861,0.9101083288337094,0.0796,0.5003853954458752,0.2736,0.5976345766001945,0.2555,0.995488315142828,0.0324,0.8699268916536425,0.0988,0.39118605730787015,0.4104,0.8672923882503588,0.0862,0.9737472519572806,0.0398
0.041140155716484994,0.0749,0.3743429260711749,0.0714,0.7953694967782157,0.0438,0.13851597242194447,0.1073,0.7294201648201074,0.0406,0.5112926587879362,0.0991,0.14207361626751314,0.1523,0.8450942149138763,0.0499,0.7613755358300386,0.1419,0.7210611567806714,0.1714,0.017182406981705256,1.3205,0.04450222425285777,0.9189,0.1407008138480289,0.5216,0.928063210491031,0.0751,0.9083584078164455,0.0725,0.9283379788947506,0.0632,0.004083063436278622,1.545,0.044289811835286685,1.0646,0.7955219714004612,0.1468,0.9990785610983861,0.0329,0.987586513186043,0.0333
0.93037237169552,0.0319,0.9621098333973352,0.0245,0.5085376803399657,0.07,0.39862128517898254,0.0812,0.5906026587906488,0.0441,0.23775563561604507,0.1686,0.8715663932246318,0.0699,0.9980831545720222,0.0348,0.8720839629293576,0.0994,0.9995010721536818,0.0387,0.23728068036827366,0.4126,0.995864373080587,0.0315,0.5660293674886698,0.252,0.7540817011594846,0.14,0.8748974849622377,0.1097,0.9992365921194342,0.0375,0.8935476651163701,0.095,0.6685172010603202,0.2304,0.25845221966944765,0.5403,0.8076752492489363,0.1554,0.01973155646584579,1.5122
0.8670261695493321,0.0275,0.5572387478140304,0.0429,0.9593181162840112,0.0269,0.9427793337194025,0.0431,0.9879969684983493,0.0298,0.7777285106479079,0.0821,0.9096216929161232,0.0707,0.9975421247948473,0.0266,0.4487900728397509,0.2884,0.9676659131580161,0.0422,0.9874124314664701,0.0473,0.8279685177537086,0.1161,0.9598924460685121,0.0491,0.9282886227720538,0.0595,0.8094751340773658,0.1441,0.9960576585814578,0.0285,0.5844126149655864,0.2484,0.009160375580062219,1.482,0.7500538406026525,0.1671,0.5917362060300237,0.2477,0.9290055848826883,0.0857
0.5154000261481457,0.0371,0.9898538529929827,0.0409,0.38796358922900065,0.0706,0.13035694210629756,0.1264,0.9966524028528858,0.0227,0.8928926950983395,0.0518,0.8271388074559687,0.0647,0.009436732040396412,0.2107,0.9679356322087674,0.0427,0.3114308523739757,0.3435,0.3818242055056591,0.3293,0.9419023289131627,0.0596,0.872886851594549,0.1063,0.9120604295421861,0.1021,0.8017013487642509,0.1346,0.24055922951987008,0.5249,0.4869535155363879,0.3102,0.011619835012896318,1.5103,0.14750313466317433,0.8202,0.9005165592482882,0.1073,0.7139025936343545,0.1857
0.8643170292467864,0.0273,0.6977050786119432,0.0358,0.8406850042854581,0.0397,0.9919067041031454,0.0273,0.7026207781738429,0.0463,0.3448783822382485,0.1362,0.7499440388236847,0.0735,0.8683486791164702,0.0344,0.958692806654807,0.0814,0.04113299054755759,0.7956,0.6646228700073336,0.2044,0.7933647141658617,0.1487,0.7360160560942101,0.1443,0.15458307034654284,0.732,0.7603059519334049,0.1528,0.03538854045315354,0.9726,0.0005745492897814009,,0.7882788814494842,0.1584,0.8275743965290726,0.1107,0.052361120825171414,1.0519,0.7681859912353499,0.1749
