outlet_SO2,outlet_gas_flow,outlet_gas_temp
23.426905909090905,1255347.7727272725,47.62885327272727
16.834693090909088,1290846.0227272725,47.38696454545455
34.84616581818181,1511284.2727272725,47.451782
25.94654127272727,1483461.7840909087,48.06906290909092
22.56414436363636,1414250.3749999998,48.02398699999999
29.57946809090909,1454466.193181818,48.20833763636362
22.12612781818181,1515427.7159090906,47.97820999999999
17.529704636363633,1423390.602272727,48.05644172727273
32.18125909090909,1502298.568181818,48.435974
22.14397854545454,1504314.2272727273,48.4566408181818
40.57140127272727,1602724.954545454,48.697346545454536
14.81752518181818,1556218.1136363635,48.84081336363636
20.63474727272727,1611187.9545454544,49.535504818181806
34.04449727272727,1602488.3749999998,48.93950999999999
19.323449909090904,1360441.5681818177,48.42771681818181
16.101601818181816,1355088.443181818,48.02398699999999
17.31600827272727,1412845.8863636362,48.00109499999999
17.801773909090905,1489828.8636363633,48.118522181818165
19.45719872727273,1361478.7159090906,47.97820999999999
18.784018818181814,1374608.954545454,47.945327363636366
18.698804545454543,1361603.4090909087,48.044651818181805
26.845845,1452031.659090909,48.38867209090908
22.869803545454538,1416874.3977272725,48.40958227272728
16.494805090909086,1462670.1136363633,48.13842799999999
21.795642909090905,1387582.443181818,48.11553199999999
24.573082818181817,1479896.6477272725,48.092648
23.417389909090907,1485898.4999999998,48.25789372727272
23.387515636363634,1590823.420454545,48.25394036363635
20.370697090909086,1365004.6136363633,48.25286499999999
17.612441909090908,1464492.9886363633,47.74599699999999
34.46176563636363,1432701.7159090906,47.61761527272726
27.92931909090909,1406759.3295454544,48.01472263636363
40.43887363636363,1400091.4204545452,47.87847054545453
27.132763363636364,1504252.7386363633,47.96589654545454
21.932847090909085,1491008.420454545,47.68995699999999
24.834114818181817,1637241.3749999998,48.33477918181818
27.12221154545454,1523409.0909090908,48.664852
32.709231090909086,1649988.4659090908,48.90597754545454
31.04602245454545,1531449.568181818,48.76185354545455
34.072154999999995,1511175.511363636,48.962402
28.58613727272727,1753362.477272727,49.61498572727274
17.681635727272724,1474756.5568181814,49.34834427272728
21.72400627272728,1803548.7499999995,49.577153909090896
20.17421954545454,1755475.9204545452,49.19127999999999
24.18759009090909,1608889.7386363633,49.00567736363636
17.194970818181815,1872242.170454545,49.20189263636363
16.734799454545453,1663706.4886363633,48.86079118181817
28.78100309090909,1739546.0227272727,48.65104990909089
23.334804636363632,1491576.7386363633,48.435974
32.168707909090905,1609659.8977272722,48.4895149090909
40.16859118181818,1608601.3977272725,48.44127763636363
24.63860881818181,1538922.1136363633,48.435974
31.42670736363636,1568040.2727272722,48.17694945454545
32.34546545454545,1615232.5113636358,48.15406554545454
25.42780036363636,1584412.9886363633,48.16318609090908
25.56727118181818,1520073.9204545452,48.25286499999999
34.25136336363636,1636171.102272727,48.22269654545454
34.200417,1669120.704545454,48.39630145454544
22.708743545454546,1663691.329545454,48.34442099999999
27.74475309090909,1663625.8863636362,48.37674018181818
28.400277,1650546.4659090904,48.352531727272726
28.872238181818176,1657468.1136363633,48.367306
34.07949427272727,1647740.125,48.45972618181817
31.082961272727267,1649801.0113636362,48.85659336363636
30.539501090909084,1689672.1818181816,49.23546172727272
23.335363,1652074.897727272,49.23705699999999
29.925181,1632956.8522727268,49.24586672727273
24.650917727272727,1567606.761363636,49.122619999999976
23.449522181818185,1672964.9204545454,49.09993945454544
25.77545745454545,1726005.4204545454,49.51792254545454
24.90537972727272,1721936.806818182,49.225717
25.860007454545453,1709997.136363636,49.21417199999998
19.35294427272727,1570492.9659090906,49.06716472727272
30.52368209090909,1499966.534090909,49.55749099999999
19.008890636363635,1465366.6704545454,49.37439000000002
24.27577336363636,1580463.2727272722,49.102572
15.535622181818178,1422877.034090909,48.78470290909092
19.20422527272727,1516362.693181818,48.93950999999999
23.773436545454544,1632569.2499999998,49.305721000000005
19.82955836363636,1496179.988636363,49.37439000000002
16.955947909090906,1493609.8977272727,49.031718727272725
17.04409936363636,1446806.1590909087,48.825069
24.51854309090909,1535198.2499999995,48.83318554545454
24.947157454545447,1529974.795454545,48.893729999999984
24.48247818181818,1482608.4204545452,49.0239199090909
26.84381454545454,1555215.2954545452,48.98272272727272
19.793355909090906,1662703.318181818,48.87025627272726
35.55134154545454,1639214.3636363633,48.78251772727272
21.383205181818177,1423731.4999999998,48.48327245454545
36.54458254545455,1696569.5568181816,48.409338090909095
31.3657529090909,1771747.1136363633,48.33429209090908
16.550598454545455,1479734.102272727,48.00941954545453
